DATE,INSTRUMENT,UNDERLYING,EXPIRY DATE,MTM SETTLEMENT PRICE
04-MAY-2026,FUTCUR,EURINR,08-MAY-2026,111.2450000
04-MAY-2026,FUTCUR,EURINR,15-MAY-2026,111.3650000
04-MAY-2026,FUTCUR,EURINR,22-MAY-2026,111.4875000
04-MAY-2026,FUTCUR,EURINR,26-MAY-2026,111.7425000
04-MAY-2026,FUTCUR,EURINR,29-MAY-2026,111.6075000
04-MAY-2026,FUTCUR,EURINR,05-JUN-2026,111.6300000
04-MAY-2026,FUTCUR,EURINR,12-JUN-2026,111.7275000
04-MAY-2026,FUTCUR,EURINR,19-JUN-2026,111.8275000
04-MAY-2026,FUTCUR,EURINR,25-JUN-2026,111.9125000
04-MAY-2026,FUTCUR,EURINR,03-JUL-2026,112.0275000
04-MAY-2026,FUTCUR,EURINR,10-JUL-2026,112.1275000
04-MAY-2026,FUTCUR,EURINR,17-JUL-2026,112.2275000
04-MAY-2026,FUTCUR,EURINR,24-JUL-2026,112.3275000
04-MAY-2026,FUTCUR,EURINR,29-JUL-2026,112.4000000
04-MAY-2026,FUTCUR,EURINR,27-AUG-2026,112.8150000
04-MAY-2026,FUTCUR,EURINR,28-SEP-2026,113.0300000
04-MAY-2026,FUTCUR,EURINR,28-OCT-2026,113.4125000
04-MAY-2026,FUTCUR,EURINR,26-NOV-2026,113.7825000
04-MAY-2026,FUTCUR,EURINR,29-DEC-2026,114.5975000
04-MAY-2026,FUTCUR,EURINR,27-JAN-2027,115.0200000
04-MAY-2026,FUTCUR,EURINR,24-FEB-2027,115.4275000
04-MAY-2026,FUTCUR,EURINR,29-MAR-2027,115.9125000
04-MAY-2026,FUTCUR,EURINR,28-APR-2027,116.3550000
04-MAY-2026,FUTCUR,EURUSD,08-MAY-2026,1.1677000
04-MAY-2026,FUTCUR,EURUSD,15-MAY-2026,1.1681000
04-MAY-2026,FUTCUR,EURUSD,22-MAY-2026,1.1685000
04-MAY-2026,FUTCUR,EURUSD,26-MAY-2026,1.1687000
04-MAY-2026,FUTCUR,EURUSD,29-MAY-2026,1.1689000
04-MAY-2026,FUTCUR,EURUSD,05-JUN-2026,1.1693000
04-MAY-2026,FUTCUR,EURUSD,12-JUN-2026,1.1697000
04-MAY-2026,FUTCUR,EURUSD,19-JUN-2026,1.1700000
04-MAY-2026,FUTCUR,EURUSD,25-JUN-2026,1.1704000
04-MAY-2026,FUTCUR,EURUSD,03-JUL-2026,1.1708000
04-MAY-2026,FUTCUR,EURUSD,10-JUL-2026,1.1712000
04-MAY-2026,FUTCUR,EURUSD,17-JUL-2026,1.1716000
04-MAY-2026,FUTCUR,EURUSD,29-JUL-2026,1.1723000
04-MAY-2026,FUTCUR,EURUSD,27-AUG-2026,1.1739000
04-MAY-2026,FUTCUR,EURUSD,28-SEP-2026,1.1757000
04-MAY-2026,FUTCUR,EURUSD,28-OCT-2026,1.1773000
04-MAY-2026,FUTCUR,EURUSD,26-NOV-2026,1.1790000
04-MAY-2026,FUTCUR,EURUSD,29-DEC-2026,1.1808000
04-MAY-2026,FUTCUR,EURUSD,27-JAN-2027,1.1824000
04-MAY-2026,FUTCUR,EURUSD,24-FEB-2027,1.1840000
04-MAY-2026,FUTCUR,EURUSD,29-MAR-2027,1.1858000
04-MAY-2026,FUTCUR,EURUSD,28-APR-2027,1.1875000
04-MAY-2026,FUTCUR,GBPINR,08-MAY-2026,128.7250000
04-MAY-2026,FUTCUR,GBPINR,15-MAY-2026,128.8200000
04-MAY-2026,FUTCUR,GBPINR,22-MAY-2026,128.9150000
04-MAY-2026,FUTCUR,GBPINR,26-MAY-2026,129.2000000
04-MAY-2026,FUTCUR,GBPINR,29-MAY-2026,129.0125000
04-MAY-2026,FUTCUR,GBPINR,05-JUN-2026,128.9900000
04-MAY-2026,FUTCUR,GBPINR,12-JUN-2026,129.0625000
04-MAY-2026,FUTCUR,GBPINR,19-JUN-2026,129.1325000
04-MAY-2026,FUTCUR,GBPINR,25-JUN-2026,129.1925000
04-MAY-2026,FUTCUR,GBPINR,03-JUL-2026,129.2725000
04-MAY-2026,FUTCUR,GBPINR,10-JUL-2026,129.3450000
04-MAY-2026,FUTCUR,GBPINR,17-JUL-2026,129.4150000
04-MAY-2026,FUTCUR,GBPINR,24-JUL-2026,129.4850000
04-MAY-2026,FUTCUR,GBPINR,29-JUL-2026,129.5350000
04-MAY-2026,FUTCUR,GBPINR,27-AUG-2026,129.8300000
04-MAY-2026,FUTCUR,GBPINR,28-SEP-2026,129.8725000
04-MAY-2026,FUTCUR,GBPINR,28-OCT-2026,130.1175000
04-MAY-2026,FUTCUR,GBPINR,26-NOV-2026,130.3575000
04-MAY-2026,FUTCUR,GBPINR,29-DEC-2026,131.0750000
04-MAY-2026,FUTCUR,GBPINR,27-JAN-2027,131.3700000
04-MAY-2026,FUTCUR,GBPINR,24-FEB-2027,131.6550000
04-MAY-2026,FUTCUR,GBPINR,29-MAR-2027,131.9925000
04-MAY-2026,FUTCUR,GBPINR,28-APR-2027,132.3000000
04-MAY-2026,FUTCUR,GBPUSD,08-MAY-2026,1.3512000
04-MAY-2026,FUTCUR,GBPUSD,15-MAY-2026,1.3512000
04-MAY-2026,FUTCUR,GBPUSD,22-MAY-2026,1.3512000
04-MAY-2026,FUTCUR,GBPUSD,26-MAY-2026,1.3511000
04-MAY-2026,FUTCUR,GBPUSD,29-MAY-2026,1.3511000
04-MAY-2026,FUTCUR,GBPUSD,05-JUN-2026,1.3511000
04-MAY-2026,FUTCUR,GBPUSD,12-JUN-2026,1.3511000
04-MAY-2026,FUTCUR,GBPUSD,19-JUN-2026,1.3511000
04-MAY-2026,FUTCUR,GBPUSD,25-JUN-2026,1.3511000
04-MAY-2026,FUTCUR,GBPUSD,03-JUL-2026,1.3510000
04-MAY-2026,FUTCUR,GBPUSD,10-JUL-2026,1.3510000
04-MAY-2026,FUTCUR,GBPUSD,17-JUL-2026,1.3510000
04-MAY-2026,FUTCUR,GBPUSD,29-JUL-2026,1.3510000
04-MAY-2026,FUTCUR,GBPUSD,27-AUG-2026,1.3509000
04-MAY-2026,FUTCUR,GBPUSD,28-SEP-2026,1.3508000
04-MAY-2026,FUTCUR,GBPUSD,28-OCT-2026,1.3507000
04-MAY-2026,FUTCUR,GBPUSD,26-NOV-2026,1.3507000
04-MAY-2026,FUTCUR,GBPUSD,29-DEC-2026,1.3506000
04-MAY-2026,FUTCUR,GBPUSD,27-JAN-2027,1.3505000
04-MAY-2026,FUTCUR,GBPUSD,24-FEB-2027,1.3504000
04-MAY-2026,FUTCUR,GBPUSD,29-MAR-2027,1.3503000
04-MAY-2026,FUTCUR,GBPUSD,28-APR-2027,1.3503000
04-MAY-2026,FUTCUR,JPYINR,08-MAY-2026,60.5200000
04-MAY-2026,FUTCUR,JPYINR,15-MAY-2026,60.6000000
04-MAY-2026,FUTCUR,JPYINR,22-MAY-2026,60.6800000
04-MAY-2026,FUTCUR,JPYINR,26-MAY-2026,60.7950000
04-MAY-2026,FUTCUR,JPYINR,29-MAY-2026,60.7600000
04-MAY-2026,FUTCUR,JPYINR,05-JUN-2026,60.7875000
04-MAY-2026,FUTCUR,JPYINR,12-JUN-2026,60.8550000
04-MAY-2026,FUTCUR,JPYINR,19-JUN-2026,60.9225000
04-MAY-2026,FUTCUR,JPYINR,25-JUN-2026,60.9825000
04-MAY-2026,FUTCUR,JPYINR,03-JUL-2026,61.0600000
04-MAY-2026,FUTCUR,JPYINR,10-JUL-2026,61.1275000
04-MAY-2026,FUTCUR,JPYINR,17-JUL-2026,61.1975000
04-MAY-2026,FUTCUR,JPYINR,24-JUL-2026,61.2650000
04-MAY-2026,FUTCUR,JPYINR,29-JUL-2026,61.3150000
04-MAY-2026,FUTCUR,JPYINR,27-AUG-2026,61.6000000
04-MAY-2026,FUTCUR,JPYINR,28-SEP-2026,61.7825000
04-MAY-2026,FUTCUR,JPYINR,28-OCT-2026,62.0525000
04-MAY-2026,FUTCUR,JPYINR,26-NOV-2026,62.3150000
04-MAY-2026,FUTCUR,JPYINR,29-DEC-2026,62.8275000
04-MAY-2026,FUTCUR,JPYINR,27-JAN-2027,63.1200000
04-MAY-2026,FUTCUR,JPYINR,24-FEB-2027,63.4025000
04-MAY-2026,FUTCUR,JPYINR,29-MAR-2027,63.7375000
04-MAY-2026,FUTCUR,JPYINR,28-APR-2027,64.0450000
04-MAY-2026,FUTCUR,USDINR,08-MAY-2026,95.2425000
04-MAY-2026,FUTCUR,USDINR,15-MAY-2026,95.3150000
04-MAY-2026,FUTCUR,USDINR,22-MAY-2026,95.3875000
04-MAY-2026,FUTCUR,USDINR,26-MAY-2026,95.3450000
04-MAY-2026,FUTCUR,USDINR,29-MAY-2026,95.4575000
04-MAY-2026,FUTCUR,USDINR,05-JUN-2026,95.4450000
04-MAY-2026,FUTCUR,USDINR,12-JUN-2026,95.4975000
04-MAY-2026,FUTCUR,USDINR,19-JUN-2026,95.5525000
04-MAY-2026,FUTCUR,USDINR,25-JUN-2026,95.6550000
04-MAY-2026,FUTCUR,USDINR,03-JUL-2026,95.6600000
04-MAY-2026,FUTCUR,USDINR,10-JUL-2026,95.7125000
04-MAY-2026,FUTCUR,USDINR,17-JUL-2026,95.7650000
04-MAY-2026,FUTCUR,USDINR,24-JUL-2026,95.8200000
04-MAY-2026,FUTCUR,USDINR,29-JUL-2026,95.9350000
04-MAY-2026,FUTCUR,USDINR,27-AUG-2026,96.1000000
04-MAY-2026,FUTCUR,USDINR,28-SEP-2026,96.1175000
04-MAY-2026,FUTCUR,USDINR,28-OCT-2026,96.3050000
04-MAY-2026,FUTCUR,USDINR,26-NOV-2026,96.4875000
04-MAY-2026,FUTCUR,USDINR,29-DEC-2026,97.0250000
04-MAY-2026,FUTCUR,USDINR,27-JAN-2027,97.2500000
04-MAY-2026,FUTCUR,USDINR,24-FEB-2027,97.4650000
04-MAY-2026,FUTCUR,USDINR,29-MAR-2027,97.7225000
04-MAY-2026,FUTCUR,USDINR,28-APR-2027,97.9550000
04-MAY-2026,FUTCUR,USDJPY,08-MAY-2026,157.4000000
04-MAY-2026,FUTCUR,USDJPY,15-MAY-2026,157.3200000
04-MAY-2026,FUTCUR,USDJPY,22-MAY-2026,157.2300000
04-MAY-2026,FUTCUR,USDJPY,26-MAY-2026,157.1800000
04-MAY-2026,FUTCUR,USDJPY,29-MAY-2026,157.1400000
04-MAY-2026,FUTCUR,USDJPY,05-JUN-2026,157.0500000
04-MAY-2026,FUTCUR,USDJPY,12-JUN-2026,156.9600000
04-MAY-2026,FUTCUR,USDJPY,19-JUN-2026,156.8700000
04-MAY-2026,FUTCUR,USDJPY,25-JUN-2026,156.8000000
04-MAY-2026,FUTCUR,USDJPY,03-JUL-2026,156.7000000
04-MAY-2026,FUTCUR,USDJPY,10-JUL-2026,156.6100000
04-MAY-2026,FUTCUR,USDJPY,17-JUL-2026,156.5200000
04-MAY-2026,FUTCUR,USDJPY,29-JUL-2026,156.3700000
04-MAY-2026,FUTCUR,USDJPY,27-AUG-2026,156.0100000
04-MAY-2026,FUTCUR,USDJPY,28-SEP-2026,155.6100000
04-MAY-2026,FUTCUR,USDJPY,28-OCT-2026,155.2300000
04-MAY-2026,FUTCUR,USDJPY,26-NOV-2026,154.8700000
04-MAY-2026,FUTCUR,USDJPY,29-DEC-2026,154.4600000
04-MAY-2026,FUTCUR,USDJPY,27-JAN-2027,154.1000000
04-MAY-2026,FUTCUR,USDJPY,24-FEB-2027,153.7600000
04-MAY-2026,FUTCUR,USDJPY,29-MAR-2027,153.3500000
04-MAY-2026,FUTCUR,USDJPY,28-APR-2027,152.9800000
04-MAY-2026,OPTCUR,GBPUSD,,1.3512000
04-MAY-2026,OPTCUR,GBPINR,,128.6679000
04-MAY-2026,OPTCUR,JPYINR,,60.4742000
04-MAY-2026,OPTCUR,USDINR,,95.1995000
04-MAY-2026,OPTCUR,EURINR,,111.1736000
04-MAY-2026,OPTCUR,EURUSD,,1.1675000
04-MAY-2026,OPTCUR,USDJPY,,157.4548000
